company_name,career_url,website,industry,category,country,state,headquarters,company_size,founded_year,ats_platform,ats_token,ats_confidence,ats_detection_method,internship_available,graduate_program,freshers_hiring,remote_friendly,ai_hiring_score,hiring_frequency,preferred_roles,preferred_technologies,tech_stack,career_status,last_verified_date,india_priority,ai_data_relevance,fresher_potential,url_confidence,recommended_for_ai_data,source,http_status,redirect_url,verified_career_url,discovered_ats_url,ats_tenant,ats_board,active_status
Cigniti Technologies,https://www.cigniti.com/,https://www.cigniti.com/,Software Testing & QA,it_services,IN,Telangana,Hyderabad,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,homepage_only,2026-07-22,,,,,,,,,,,,,True
Cipla,https://www.cipla.com/careers,https://www.cipla.com/,Pharmaceuticals,pharma,IN,Maharashtra,"Mumbai, Maharashtra",large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Data Engineer; QA Engineer; Software Engineer,Python; SQL; SAP; Validation,Python; SQL; SAP; Validation,working,2026-07-22,,,,,,,,,,,,,True
Cisco India,https://www.cisco.com/c/en/us/about/careers.html,https://www.cisco.com/,Networking Technology,product,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Yes,8,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,blocked,2026-07-22,Tier 2,Medium,Strong,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
Citi India,https://jobs.citi.com,https://www.citigroup.com/,Financial Services,gcc,IN,Maharashtra,Pune,enterprise,Unknown,workday,citi,0.95,page_body,Unknown,Unknown,Yes,Yes,6,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,working,2026-07-22,Tier 1,High,Strong,High,YES,indian_seed+mnc_excel_2026,,,,,,,True
CitiusTech,https://www.citiustech.com/,https://www.citiustech.com/,Healthcare IT,healthtech,IN,Maharashtra,Mumbai,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,homepage_only,2026-07-22,,,,,,,,,,,,,True
Citrix,https://jobs.citrix.com/,https://www.citrix.com/,Software/Cloud,product,IN,Karnataka,Bengaluru,enterprise,Unknown,workday,tibco,0.95,page_body,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,redirect,2026-07-22,,,,,,,,,,,,,True
Clari5,https://www.clari5.com/careers/,https://www.clari5.com/,Fintech SaaS (fraud & risk),saas,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,,,,,,,,,,,,,True
Classplus,https://classplusapp.com/careers,https://www.classplusapp.com/,EdTech SaaS,edtech,IN,Uttar Pradesh,Noida,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Full Stack Engineer; Data Analyst; SDET,Node.js; React; Python; AWS,Node.js; React; Python; AWS,working,2026-07-22,,,,,,,,,,,,,True
CleanMax,https://www.cleanmax.com/careers.php,https://www.cleanmax.com/,Renewable energy,energy,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Engineer; QA Engineer,Python; SQL; SCADA; Cloud,Python; SQL; SCADA; Cloud,redirect,2026-07-22,,,,,,,,,,,,,True
Clear,https://cleartax.in/,https://www.cleartax.in/,Tax & Compliance,fintech,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,homepage_only,2026-07-22,,,,,,,,,,,,,True
Clear (ClearTax),https://www.clear.in/,https://www.clear.in/,Fintech/tax SaaS,saas,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,homepage_only,2026-07-22,,,,,,,,,,,,,True
Cleartrip,https://careers.cleartrip.com/,https://www.cleartrip.com/,Online Travel,travel,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
CleverTap,https://clevertap.com/careers,https://www.clevertap.com/,SaaS,saas,IN,Maharashtra,"Mumbai, Maharashtra",large,Unknown,lever,clevertap,0.85,seed,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,blocked,2026-07-22,,,,,,,,,,,,,True
ClickPost,https://www.clickpost.ai/careers,https://www.clickpost.ai/,Logistics SaaS,saas,IN,Delhi,New Delhi,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,,,,,,,,,,,,,True
Clootrack,https://www.clootrack.com/,https://www.clootrack.com/,Customer Analytics AI,analytics_ai,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,8,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,homepage_only,2026-07-22,,,,,,,,,,,,,True
Cloudflare,https://www.cloudflare.com/careers/,https://www.cloudflare.com/,Cloud/Security,product,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Yes,7,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,working,2026-07-22,Tier 1,High,Strong,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
CloudMoyo,https://www.cloudmoyo.com/,https://www.cloudmoyo.com/,Cloud & Analytics Services,it_services,IN,Maharashtra,Pune,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,homepage_only,2026-07-22,,,,,,,,,,,,,True
Cloudphysician,https://www.cloudphysician.net/careers,https://www.cloudphysician.net/,Tele-ICU AI,healthtech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,redirect,2026-07-22,,,,,,,,,,,,,True
CloudSEK,https://cloudsek.com/careers,https://www.cloudsek.com/,Cybersecurity AI,saas,IN,Karnataka,Bengaluru,startup,Unknown,greenhouse,embed,0.95,page_body,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,redirect,2026-07-22,,,,,,,,,,,,,True
CNH Industrial,https://www.cnhindustrial.com/careers,https://www.cnhindustrial.com/,Automotive & Mobility,automotive,GB,Unknown,UK,large,Unknown,successfactors,Unknown,0.95,live_probe,Unknown,Unknown,Possible,Unknown,7,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,unverified,2026-08-09,Tier 2,Medium,Possible,Verify,Monitor,mnc_excel_2026,200,https://www.cnh.com/careers,,https://hcm55.sapsf.eu/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,,,True
Coal India,https://www.coalindia.in/,https://www.coalindia.in/,Mining & energy,energy,IN,West Bengal,Kolkata,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,3,Unknown,Software Engineer; Data Engineer; QA Engineer,Python; SQL; SCADA; Cloud,Python; SQL; SCADA; Cloud,homepage_only,2026-07-22,,,,,,,,,,,,,True
Coca-Cola India,https://www.coca-colacompany.com/careers,https://www.coca-colaindia.com/,Beverages,retail,IN,Haryana,Gurugram,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,5,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-08-09,Tier 2,High,Possible,High,Monitor,indian_seed+mnc_excel_2026,200,,https://www.coca-colacompany.com/careers,,,,True
Coding Ninjas,https://www.codingninjas.com/careers,https://www.codingninjas.com/,EdTech,edtech,IN,Haryana,Gurugram,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Full Stack Engineer; Data Analyst; SDET,Node.js; React; Python; AWS,Node.js; React; Python; AWS,working,2026-07-22,,,,,,,,,,,,,True
Coforge,https://www.coforge.com/careers,https://www.coforge.com/,IT Services,it_services,IN,Uttar Pradesh,"Noida, Uttar Pradesh",large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Unknown,6,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,redirect,2026-07-22,Tier 2,Medium,Strong,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
Cognizant,https://careers.cognizant.com,https://www.careers.cognizant.com/,IT Services,it_services,IN,Tamil Nadu,"Chennai, Tamil Nadu",large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Unknown,7,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,blocked,2026-07-22,Tier 2,Medium,Strong,High,YES,indian_seed+mnc_excel_2026,,,,,,,True
Cohesity,https://www.cohesity.com/company/careers/,https://www.cohesity.com/,Data Management,product,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,redirect,2026-07-22,,,,,,,,,,,,,True
Coinbase,https://www.coinbase.com/careers,https://www.coinbase.com/,Fintech/Crypto,product,IN,Telangana,Hyderabad,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Yes,7,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,blocked,2026-08-09,Tier 2,Medium,Strong,Verify,Monitor,indian_seed+mnc_excel_2026,403,,,,,,True
CoinDCX,https://coindcx.com/careers,https://www.coindcx.com/,Crypto Exchange,fintech,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,blocked,2026-07-22,,,,,,,,,,,,,True
CoinSwitch,https://www.coinswitch.co/,https://www.coinswitch.co/,Crypto / Wealth,fintech,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,homepage_only,2026-07-22,,,,,,,,,,,,,True
Colgate-Palmolive,https://www.colgate-palmolive.com/careers,https://www.colgate-palmolive.com/,"FMCG, Retail & Consumer",retail,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,blocked,2026-08-09,Tier 2,High,Possible,Verify,Monitor,mnc_excel_2026,403,https://www.colgatepalmolive.com/careers,,,,,True
Colgate-Palmolive India (GBS),https://jobs.colgate.com,https://www.colgatepalmolive.com/,FMCG,gcc,IN,Maharashtra,Mumbai,large,Unknown,successfactors,performancemanager4,0.95,page_body,Unknown,Unknown,Unknown,Yes,5,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,working,2026-07-22,,,,,,,,,,,,,True
Colliers,https://careers.colliers.com/,https://careers.colliers.com/,"Real Estate, Infrastructure & Services",other,CA,Unknown,Canada,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,7,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,working,2026-08-09,Tier 2,Medium,Possible,High,Monitor,mnc_excel_2026,,,,,,,True
Collins Aerospace India,https://www.collinsaerospace.com/careers,https://www.collinsaerospace.com/,Aerospace Systems,aerospace,IN,Telangana,Hyderabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,8,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,blocked,2026-07-22,,,,,,,,,,,,,True
Comcast India,https://jobs.comcast.com,https://www.comcast.com/,Media/Telecom,gcc,IN,Tamil Nadu,Chennai,enterprise,Unknown,workday,comcast,0.95,page_body,Unknown,Unknown,Possible,Yes,6,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,working,2026-07-22,Tier 2,High,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
CometChat,https://www.cometchat.com/,https://www.cometchat.com/,Communications API,saas,IN,Maharashtra,Mumbai,small,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,homepage_only,2026-07-22,,,,,,,,,,,,,True
Commvault,https://www.commvault.com/careers,https://www.commvault.com/,Data Protection,product,IN,Telangana,Hyderabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,working,2026-07-22,,,,,,,,,,,,,True
Compass Group,https://www.compassgroup.com/careers,https://www.compassgroup.com/,"Real Estate, Infrastructure & Services",other,GB,Unknown,UK,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,7,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,not_found,2026-08-09,Tier 2,Medium,Possible,Broken,Monitor,mnc_excel_2026,404,https://compassgroup.com/careers,,,,,False
Composio,https://composio.dev/careers,https://www.composio.dev/,AI agent tooling,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,ashby,composio,0.95,final_url,Unknown,Unknown,Unknown,Yes,8,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,redirect,2026-07-22,,,,,,,,,,,,,True
Confluent,https://careers.confluent.io,https://www.confluent.io/,Data/Streaming,product,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Yes,7,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,blocked,2026-08-09,Tier 2,Medium,Strong,Verify,Monitor,indian_seed+mnc_excel_2026,429,,,,,,True
Conneqt Business Solutions,https://www.conneqtcorp.com/careers/,https://www.conneqtcorp.com/,Business Process Management,it_services,IN,Maharashtra,Mumbai,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,timeout,2026-07-22,,,,,,,,,,,,,True
Container Corporation of India (CONCOR),https://www.concorindia.co.in/career.aspx,https://www.concorindia.co.in/,Logistics (PSU),conglomerate,IN,Delhi,New Delhi,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
Continental India,https://www.continental.com/en/career/,https://www.continental.com/,Auto Components & Tech,automotive,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,Embedded Engineer; Software Engineer; Data Engineer; QA Engineer,C++; Python; AUTOSAR; MATLAB,C++; Python; AUTOSAR; MATLAB,working,2026-07-22,Tier 2,Medium,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
Convergytics,https://convergytics.com/careers/,https://www.convergytics.com/,Analytics services,analytics_ai,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,working,2026-07-22,,,,,,,,,,,,,True
Convin.ai,https://convin.ai/careers,https://www.convin.ai/,Contact center AI,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,homepage_only,2026-07-22,,,,,,,,,,,,,True
Corning,https://www.corning.com/careers,https://www.corning.com/,Semiconductors & Electronics,manufacturing,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,blocked,2026-08-09,Tier 1,High,Possible,Verify,Monitor,mnc_excel_2026,403,,,,,,True
CoRover.ai,https://corover.ai/careers/,https://www.corover.ai/,Conversational AI,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,redirect,2026-07-22,,,,,,,,,,,,,True
Corridor Platforms,https://www.corridorplatforms.com/careers,https://www.corridorplatforms.com/,Risk decisioning AI,analytics_ai,IN,Haryana,Gurugram,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,working,2026-07-22,,,,,,,,,,,,,True
Corteva,https://www.corteva.com/careers,https://www.corteva.com/,"Food, Agriculture & Chemicals",other,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,7,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,blocked,2026-08-09,Tier 2,Medium,Possible,Verify,Monitor,mnc_excel_2026,403,https://www.corteva.com/careers.html,,,,,True
Costco,https://www.costco.com/careers,https://www.costco.com/,"FMCG, Retail & Consumer",retail,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,redirected,2026-08-09,Tier 2,High,Possible,High,Monitor,mnc_excel_2026,200,https://www.costco.com/careers.html,https://www.costco.com/f/-/careers,,,,True
Cotiviti India,https://www.cotiviti.com/careers,https://www.cotiviti.com/,Healthcare Analytics,healthtech,IN,Telangana,Hyderabad,large,Unknown,icims,careers-cotiviti,0.95,page_body,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,working,2026-07-22,,,,,,,,,,,,,True
Country Delight,https://www.countrydelight.in/careers,https://www.countrydelight.in/,D2C Dairy & Grocery,foodtech,IN,Haryana,Gurugram,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,homepage_only,2026-07-22,,,,,,,,,,,,,True
Coupa Software,https://www.coupa.com/company/careers,https://www.coupa.com/,Enterprise SaaS,product,IN,Maharashtra,Pune,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,blocked,2026-07-22,,,,,,,,,,,,,True
Course5 Intelligence,https://www.course5i.com/careers,https://www.course5i.com/,Analytics & AI,analytics_ai,IN,Maharashtra,"Mumbai, Maharashtra",large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,8,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,redirect,2026-07-22,,,,,,,,,,,,,True
Crayon Data,https://www.crayondata.com/,https://www.crayondata.com/,AI recommendations / analytics,analytics_ai,IN,Tamil Nadu,Chennai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,redirect,2026-07-22,,,,,,,,,,,,,True
CRED,https://careers.cred.club,https://www.careers.cred.club/,FinTech,fintech,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,cred,0.85,seed,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,,,,,,,,,,,,,True
CredAble,https://credable.in/,https://www.credable.in/,Supply Chain Finance,fintech,IN,Maharashtra,Mumbai,small,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,homepage_only,2026-07-22,,,,,,,,,,,,,True
CredFlow,https://credflow.in/careers/,https://www.credflow.in/,SME Cashflow / Fintech,fintech,IN,Uttar Pradesh,Noida,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,,,,,,,,,,,,,True
Credgenics,https://www.credgenics.com/,https://www.credgenics.com/,Debt Collections SaaS,fintech,IN,Uttar Pradesh,Noida,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,homepage_only,2026-07-22,,,,,,,,,,,,,True
Credit Suisse,https://www.creditsuisse.com/careers,https://www.creditsuisse.com/,Banking & Financial Services,bfsi,CH,Unknown,Switzerland,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,unverified,2026-08-09,Tier 1,High,Strong,Verify,Monitor,mnc_excel_2026,0,,,,,,True
CreditVidya,https://www.creditvidya.com/careers/,https://www.creditvidya.com/,Alternate Credit Scoring,fintech,IN,Telangana,Hyderabad,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,redirect,2026-07-22,,,,,,,,,,,,,True
Crediwatch,https://crediwatch.com/careers/,https://www.crediwatch.com/,AI credit intelligence,analytics_ai,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,unreachable,2026-07-22,,,,,,,,,,,,,True
CRIF High Mark,https://www.crifhighmark.com/,https://www.crifhighmark.com/,Credit Bureau / Analytics,fintech,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,homepage_only,2026-07-22,,,,,,,,,,,,,True
Croma (Infiniti Retail),https://www.croma.com/,https://www.croma.com/,Retail,retail,IN,Maharashtra,Mumbai,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,blocked,2026-07-22,,,,,,,,,,,,,True
